Date,Match,Result,Score,Competition
18 Nov 2020,Armenia v North Macedonia,L,"
1-0
",UEFA Nations League
25 Mar 2021,Romania v North Macedonia,L,"
3-2
",FIFA World Cup
28 Mar 2021,North Macedonia v Liechtenstein,W,"
5-0
",FIFA World Cup
31 Mar 2021,Germany v North Macedonia,W,"
1-2
",FIFA World Cup
08 Sep 2018,England v Spain,L,"
1-2
",UEFA Nations League
11 Sep 2018,England v Switzerland,W,"
1-0
",International Friendly
12 Oct 2018,Croatia v England,D,"
0-0
",UEFA Nations League
15 Oct 2018,Spain v England,W,"
2-3
",UEFA Nations League
15 Nov 2018,England v USA,W,"
3-0
",International Friendly
18 Nov 2018,England v Croatia,W,"
2-1
",UEFA Nations League
22 Mar 2019,England v Czech Republic,W,"
5-0
",UEFA European Championship
25 Mar 2019,Montenegro v England,W,"
1-5
",UEFA European Championship
06 Jun 2019,England v Netherlands,L,"
1-3
",UEFA Nations League
09 Jun 2019,Switzerland v England,W,"
0-0 (5-6)
",UEFA Nations League
07 Sep 2019,England v Bulgaria,W,"
4-0
",UEFA European Championship
10 Sep 2019,England v Kosovo,W,"
5-3
",UEFA European Championship
11 Oct 2019,Czech Republic v England,L,"
2-1
",UEFA European Championship
14 Oct 2019,Bulgaria v England,W,"
0-6
",UEFA European Championship
14 Nov 2019,England v Montenegro,W,"
7-0
",UEFA European Championship
17 Nov 2019,Kosovo v England,W,"
0-4
",UEFA European Championship
05 Sep 2020,Iceland v England,W,"
0-1
",UEFA Nations League
08 Sep 2020,Denmark v England,D,"
0-0
",UEFA Nations League
08 Oct 2020,England v Wales,W,"
3-0
",International Friendly
11 Oct 2020,England v Belgium,W,"
2-1
",UEFA Nations League
14 Oct 2020,England v Denmark,L,"
0-1
",UEFA Nations League
12 Nov 2020,England v Republic of Ireland,W,"
3-0
",International Friendly
15 Nov 2020,Belgium v England,L,"
2-0
",UEFA Nations League
18 Nov 2020,England v Iceland,W,"
4-0
",UEFA Nations League
25 Mar 2021,England v San Marino,W,"
5-0
",FIFA World Cup
28 Mar 2021,Albania v England,W,"
0-2
",FIFA World Cup
31 Mar 2021,England v Poland,W,"
2-1
",FIFA World Cup
06 Sep 2018,Portugal v Croatia,D,"
1-1
",International Friendly
11 Sep 2018,Spain v Croatia,L,"
6-0
",UEFA Nations League
12 Oct 2018,Croatia v England,D,"
0-0
",UEFA Nations League
15 Oct 2018,Croatia v Jordan,W,"
2-1
",International Friendly
15 Nov 2018,Croatia v Spain,W,"
3-2
",UEFA Nations League
18 Nov 2018,England v Croatia,L,"
2-1
",UEFA Nations League
21 Mar 2019,Croatia v Azerbaijan,W,"
2-1
",UEFA European Championship
24 Mar 2019,Hungary v Croatia,L,"
2-1
",UEFA European Championship
08 Jun 2019,Croatia v Wales,W,"
2-1
",UEFA European Championship
11 Jun 2019,Croatia v Tunisia,L,"
1-2
",International Friendly
06 Sep 2019,Slovakia v Croatia,W,"
0-4
",UEFA European Championship
09 Sep 2019,Azerbaijan v Croatia,D,"
1-1
",UEFA European Championship
